branch,receipt_id,line_no,sale_dt,product_id,size,qty,unit_price,member_id,payment
cmu,2026010200003,1,2026-01-02 08:07:00,P02,M,1.0,55.0,,cash
cmu,2026010200003,2,2026-01-02 08:07:00,P12,,1.0,55.0,,cash
cmu,2026010200004,1,2026-01-02 08:31:00,P11,S,1.0,50.0,M0757,cash
cmu,2026010200005,1,2026-01-02 09:55:00,P12,,1.0,55.0,M0639,qr
cmu,2026010200006,1,2026-01-02 10:09:00,P02,L,1.0,65.0,M0148,cash
cmu,2026010200007,1,2026-01-02 10:51:00,P01,S,1.0,45.0,,qr
cmu,2026010200008,1,2026-01-02 11:39:00,P03,M,1.0,65.0,M0608,cash
cmu,2026010200009,1,2026-01-02 12:10:00,P10,M,1.0,60.0,M0385,qr
cmu,2026010200010,1,2026-01-02 12:29:00,P04,S,1.0,55.0,M0024,qr
cmu,2026010200010,2,2026-01-02 12:29:00,P09,L,1.0,60.0,M0024,qr
cmu,2026010200011,1,2026-01-02 12:47:00,P10,S,1.0,50.0,,card
cmu,2026010200012,1,2026-01-02 12:48:00,P08,M,1.0,70.0,,qr
cmu,2026010200013,1,2026-01-02 13:42:00,P02,M,1.0,55.0,M0563,qr
cmu,2026010200013,2,2026-01-02 13:42:00,P14,,1.0,85.0,M0563,qr
cmu,2026010200014,1,2026-01-02 14:05:00,P10,M,3.0,60.0,,qr
cmu,2026010200015,1,2026-01-02 15:01:00,P07,M,1.0,55.0,,cash
cmu,2026010200015,2,2026-01-02 15:01:00,P11,S,1.0,50.0,,cash
cmu,2026010200016,1,2026-01-02 15:23:00,P12,,1.0,55.0,,qr
cmu,2026010200017,1,2026-01-02 15:25:00,P03,M,1.0,65.0,,card
cmu,2026010200017,2,2026-01-02 15:25:00,P14,,1.0,85.0,,card
cmu,2026010200018,1,2026-01-02 15:52:00,P07,M,1.0,55.0,,cash
cmu,2026010200018,2,2026-01-02 15:52:00,P13,,1.0,50.0,,cash
cmu,2026010200019,1,2026-01-02 16:28:00,P05,L,1.0,80.0,,cash
cmu,2026010200020,1,2026-01-02 17:18:00,P06,M,1.0,75.0,M0404,qr
cmu,2026010200020,2,2026-01-02 17:18:00,P13,,1.0,50.0,M0404,qr
cmu,2026010200020,3,2026-01-02 17:18:00,P03,M,1.0,65.0,M0404,qr
cmu,2026010200021,1,2026-01-02 18:21:00,P13,,3.0,50.0,,cash
cmu,2026010200022,1,2026-01-02 19:15:00,P07,M,2.0,55.0,,card
cmu,2026010200023,1,2026-01-02 19:47:00,P08,M,1.0,70.0,M0524,qr
cmu,2026010200023,2,2026-01-02 19:47:00,P14,,1.0,85.0,M0524,qr
cmu,2026010300001,1,2026-01-03 09:50:00,P01,S,1.0,45.0,M0104,cash
cmu,2026010300001,2,2026-01-03 09:50:00,P15,,1.0,75.0,M0104,cash
cmu,2026010300002,1,2026-01-03 09:57:00,P07,M,1.0,55.0,M0547,qr
cmu,2026010300003,1,2026-01-03 10:21:00,P14,,1.0,85.0,,cash
cmu,2026010300003,2,2026-01-03 10:21:00,P13,,1.0,50.0,,cash
cmu,2026010300004,1,2026-01-03 10:41:00,P07,L,1.0,65.0,,qr
cmu,2026010300004,2,2026-01-03 10:41:00,P13,,1.0,50.0,,qr
cmu,2026010300004,3,2026-01-03 10:41:00,P06,L,1.0,85.0,,qr
cmu,2026010300005,1,2026-01-03 11:10:00,P06,M,1.0,75.0,M0321,qr
cmu,2026010300006,1,2026-01-03 11:58:00,P01,S,2.0,45.0,M0609,qr
cmu,2026010300006,2,2026-01-03 11:58:00,P15,,1.0,75.0,M0609,qr
cmu,2026010300007,1,2026-01-03 13:00:00,P13,,1.0,50.0,M0459,qr
cmu,2026010300007,2,2026-01-03 13:00:00,P04,M,1.0,65.0,M0459,qr
cmu,2026010300008,1,2026-01-03 13:42:00,P08,L,1.0,80.0,M0329,qr
cmu,2026010300008,2,2026-01-03 13:42:00,P11,M,1.0,60.0,M0329,qr
cmu,2026010300009,1,2026-01-03 14:05:00,P08,S,1.0,60.0,M0741,cash
cmu,2026010300009,2,2026-01-03 14:05:00,P13,,1.0,50.0,M0741,cash
cmu,2026010300009,3,2026-01-03 14:05:00,P07,L,1.0,65.0,M0741,cash
cmu,2026010300010,1,2026-01-03 14:10:00,P07,L,1.0,65.0,,cash
cmu,2026010300010,2,2026-01-03 14:10:00,P13,,1.0,50.0,,cash
cmu,2026010300011,1,2026-01-03 14:19:00,P03,M,1.0,65.0,M0660,qr
cmu,2026010300012,1,2026-01-03 14:59:00,P12,,3.0,55.0,M0715,qr
cmu,2026010300013,1,2026-01-03 16:21:00,P02,M,2.0,55.0,M0555,qr
cmu,2026010300014,1,2026-01-03 16:24:00,P03,L,3.0,75.0,,cash
cmu,2026010300015,1,2026-01-03 17:13:00,P10,M,1.0,60.0,M0505,qr
cmu,2026010400001,1,2026-01-04 08:47:00,P07,L,2.0,65.0,M0167,qr
cmu,2026010400002,1,2026-01-04 08:51:00,P06,M,1.0,75.0,,cash
cmu,2026010400002,2,2026-01-04 08:51:00,P14,,1.0,85.0,,cash
cmu,2026010400003,1,2026-01-04 09:48:00,P08,L,1.0,80.0,,qr
cmu,2026010400004,1,2026-01-04 11:00:00,P15,,1.0,75.0,M0509,cash
cmu,2026010400005,1,2026-01-04 11:09:00,P04,L,1.0,75.0,M0414,cash
cmu,2026010400006,1,2026-01-04 11:36:00,P06,M,1.0,75.0,M0424,qr
cmu,2026010400007,1,2026-01-04 14:58:00,P14,,3.0,85.0,M0446,cash
cmu,2026010400008,1,2026-01-04 15:40:00,P08,L,1.0,80.0,M0269,qr
cmu,2026010400009,1,2026-01-04 16:31:00,P14,,1.0,85.0,,qr
cmu,2026010400010,1,2026-01-04 18:22:00,P07,S,2.0,45.0,M0159,card
cmu,2026010400010,2,2026-01-04 18:22:00,P13,,1.0,50.0,M0159,card
cmu,2026010400011,1,2026-01-04 19:48:00,P13,,1.0,50.0,,cash
cmu,2026010500001,1,2026-01-05 07:01:00,P12,,1.0,55.0,,cash
cmu,2026010500002,1,2026-01-05 07:45:00,P15,,2.0,75.0,,cash
cmu,2026010500003,1,2026-01-05 07:57:00,P02,S,1.0,45.0,,cash
cmu,2026010500003,2,2026-01-05 07:57:00,P12,,1.0,55.0,,cash
cmu,2026010500003,3,2026-01-05 07:57:00,P08,S,1.0,60.0,,cash
cmu,2026010500004,1,2026-01-05 08:15:00,P12,,1.0,55.0,,qr
cmu,2026010500005,1,2026-01-05 09:19:00,P07,M,1.0,55.0,,qr
cmu,2026010500006,1,2026-01-05 09:27:00,P03,S,1.0,55.0,M0585,qr
cmu,2026010500006,2,2026-01-05 09:27:00,P14,,1.0,85.0,M0585,qr
cmu,2026010500007,1,2026-01-05 09:52:00,P02,M,1.0,55.0,M0128,cash
cmu,2026010500007,2,2026-01-05 09:52:00,P12,,1.0,55.0,M0128,cash
cmu,2026010500008,1,2026-01-05 10:25:00,P05,S,1.0,60.0,,qr
cmu,2026010500008,2,2026-01-05 10:25:00,P11,M,1.0,60.0,,qr
cmu,2026010500009,1,2026-01-05 11:20:00,P01,S,1.0,45.0,M0213,qr
cmu,2026010500010,1,2026-01-05 12:04:00,P02,L,2.0,65.0,M0341,cash
cmu,2026010500010,2,2026-01-05 12:04:00,P12,,1.0,55.0,M0341,cash
cmu,2026010500011,1,2026-01-05 12:11:00,P07,M,3.0,55.0,M0038,cash
cmu,2026010500011,2,2026-01-05 12:11:00,P13,,1.0,50.0,M0038,cash
cmu,2026010500012,1,2026-01-05 12:22:00,P15,,1.0,75.0,,qr
cmu,2026010500012,2,2026-01-05 12:22:00,P07,S,1.0,45.0,,qr
cmu,2026010500013,1,2026-01-05 12:27:00,P12,,1.0,55.0,M0106,qr
cmu,2026010500014,1,2026-01-05 14:09:00,P03,L,2.0,75.0,M0626,cash
cmu,2026010500014,2,2026-01-05 14:09:00,P14,,1.0,85.0,M0626,cash
cmu,2026010500015,1,2026-01-05 14:34:00,P07,S,1.0,45.0,,qr
cmu,2026010500016,1,2026-01-05 15:05:00,P04,S,1.0,55.0,,qr
cmu,2026010500016,2,2026-01-05 15:05:00,P13,,1.0,50.0,,qr
cmu,2026010500017,1,2026-01-05 15:14:00,P06,S,2.0,65.0,M0599,cash
cmu,2026010500018,1,2026-01-05 15:16:00,P04,M,2.0,65.0,M0296,cash
cmu,2026010500019,1,2026-01-05 15:44:00,P03,M,2.0,65.0,M0494,qr
cmu,2026010500020,1,2026-01-05 16:08:00,P07,L,1.0,65.0,,qr
cmu,2026010500021,1,2026-01-05 17:02:00,P08,L,1.0,80.0,M0601,cash
cmu,2026010500022,1,2026-01-05 17:03:00,P09,M,1.0,50.0,,cash
cmu,2026010500023,1,2026-01-05 17:18:00,P05,M,2.0,70.0,M0675,cash
cmu,2026010500024,1,2026-01-05 17:44:00,P02,M,1.0,55.0,,cash
cmu,2026010500024,2,2026-01-05 17:44:00,P03,S,1.0,55.0,,cash
cmu,2026010500025,1,2026-01-05 17:58:00,P08,L,3.0,80.0,,cash
cmu,2026010500026,1,2026-01-05 18:47:00,P07,L,1.0,65.0,M0746,qr
cmu,2026010500026,2,2026-01-05 18:47:00,P13,,1.0,50.0,M0746,qr
cmu,2026010600001,1,2026-01-06 07:47:00,P08,M,1.0,70.0,M0259,cash
cmu,2026010600002,1,2026-01-06 08:07:00,P04,S,1.0,55.0,,qr
cmu,2026010600002,2,2026-01-06 08:07:00,P15,,1.0,75.0,,qr
cmu,2026010600002,3,2026-01-06 08:07:00,P06,M,1.0,75.0,,qr
cmu,2026010600003,1,2026-01-06 08:28:00,P03,M,25.0,65.0,,card
cmu,2026010600004,1,2026-01-06 08:40:00,P05,L,1.0,80.0,,qr
cmu,2026010600005,1,2026-01-06 08:45:00,P06,M,1.0,75.0,,cash
cmu,2026010600006,1,2026-01-06 08:55:00,P03,L,1.0,75.0,M0050,qr
cmu,2026010600006,2,2026-01-06 08:55:00,P14,,1.0,85.0,M0050,qr
cmu,2026010600007,1,2026-01-06 09:25:00,P03,L,1.0,75.0,M0642,qr
cmu,2026010600008,1,2026-01-06 09:54:00,P14,,1.0,85.0,,qr
cmu,2026010600009,1,2026-01-06 10:19:00,P03,M,1.0,65.0,,qr
cmu,2026010600009,2,2026-01-06 10:19:00,P14,,1.0,85.0,,qr
cmu,2026010600010,1,2026-01-06 10:39:00,P14,,1.0,85.0,M0101,qr
cmu,2026010600011,1,2026-01-06 10:43:00,P07,L,1.0,65.0,,qr
cmu,2026010600011,2,2026-01-06 10:43:00,P13,,1.0,50.0,,qr
cmu,2026010600012,1,2026-01-06 11:15:00,P02,S,1.0,45.0,,qr
cmu,2026010600012,2,2026-01-06 11:15:00,P12,,1.0,55.0,,qr
cmu,2026010600013,1,2026-01-06 11:36:00,P04,M,2.0,65.0,,cash
cmu,2026010600014,1,2026-01-06 11:43:00,P03,S,2.0,55.0,M0618,qr
cmu,2026010600015,1,2026-01-06 12:43:00,P10,L,1.0,70.0,M0418,cash
cmu,2026010600016,1,2026-01-06 13:58:00,P11,S,1.0,50.0,M0798,qr
cmu,2026010600017,1,2026-01-06 14:04:00,P02,S,1.0,45.0,M0579,cash
cmu,2026010600017,2,2026-01-06 14:04:00,P12,,1.0,55.0,M0579,cash
cmu,2026010600018,1,2026-01-06 14:06:00,P07,M,1.0,55.0,M0546,cash
cmu,2026010600018,2,2026-01-06 14:06:00,P15,,1.0,75.0,M0546,cash
cmu,2026010600019,1,2026-01-06 14:19:00,P07,M,2.0,55.0,,cash
cmu,2026010600020,1,2026-01-06 15:08:00,P01,M,1.0,55.0,M0528,qr
cmu,2026010600020,2,2026-01-06 15:08:00,P15,,1.0,75.0,M0528,qr
cmu,2026010600021,1,2026-01-06 16:03:00,P11,M,1.0,60.0,M0238,qr
cmu,2026010600022,1,2026-01-06 16:21:00,P09,M,1.0,50.0,,qr
cmu,2026010600022,2,2026-01-06 16:21:00,P14,,1.0,85.0,,qr
cmu,2026010600022,3,2026-01-06 16:21:00,P07,S,1.0,45.0,,qr
cmu,2026010600023,1,2026-01-06 16:33:00,P02,M,1.0,55.0,,qr
cmu,2026010600023,2,2026-01-06 16:33:00,P12,,1.0,55.0,,qr
cmu,2026010600024,1,2026-01-06 18:00:00,P08,S,1.0,60.0,M0529,cash
cmu,2026010600024,2,2026-01-06 18:00:00,P07,S,1.0,45.0,M0529,cash
cmu,2026010700001,1,2026-01-07 08:32:00,P06,M,1.0,75.0,,cash
cmu,2026010700002,1,2026-01-07 08:50:00,P03,L,1.0,75.0,,cash
cmu,2026010700002,2,2026-01-07 08:50:00,P14,,1.0,85.0,,cash
cmu,2026010700003,1,2026-01-07 09:30:00,P06,S,1.0,65.0,,qr
cmu,2026010700003,2,2026-01-07 09:30:00,P07,S,1.0,45.0,,qr
cmu,2026010700004,1,2026-01-07 09:55:00,P09,S,1.0,40.0,,qr
cmu,2026010700005,1,2026-01-07 09:55:00,P02,S,1.0,45.0,M0459,cash
cmu,2026010700006,1,2026-01-07 10:44:00,P02,M,1.0,55.0,,qr
cmu,2026010700007,1,2026-01-07 10:47:00,P03,M,1.0,65.0,,qr
cmu,2026010700008,1,2026-01-07 11:30:00,P12,,1.0,55.0,M0439,qr
cmu,2026010700009,1,2026-01-07 13:08:00,P02,M,1.0,55.0,,qr
cmu,2026010700010,1,2026-01-07 13:38:00,P10,L,1.0,70.0,,cash
cmu,2026010700011,1,2026-01-07 14:03:00,P10,M,1.0,60.0,M0357,qr
cmu,2026010700012,1,2026-01-07 14:15:00,P07,S,1.0,45.0,,qr
cmu,2026010700012,2,2026-01-07 14:15:00,P13,,1.0,50.0,,qr
cmu,2026010700013,1,2026-01-07 14:47:00,P02,L,1.0,65.0,M0678,cash
cmu,2026010700013,2,2026-01-07 14:47:00,P12,,1.0,55.0,M0678,cash
cmu,2026010700014,1,2026-01-07 14:47:00,P02,M,1.0,55.0,M0788,qr
cmu,2026010700015,1,2026-01-07 15:02:00,P12,,1.0,55.0,,cash
cmu,2026010700016,1,2026-01-07 15:53:00,P12,,1.0,55.0,,cash
cmu,2026010800001,1,2026-01-08 07:20:00,P12,,1.0,55.0,M0305,qr
cmu,2026010800002,1,2026-01-08 07:27:00,P11,S,1.0,50.0,,card
cmu,2026010800003,1,2026-01-08 07:58:00,P08,L,3.0,80.0,,cash
cmu,2026010800003,2,2026-01-08 07:58:00,P14,,1.0,85.0,,cash
cmu,2026010800004,1,2026-01-08 08:04:00,P08,S,1.0,60.0,,cash
cmu,2026010800005,1,2026-01-08 08:15:00,P02,M,1.0,55.0,,cash
cmu,2026010800006,1,2026-01-08 08:26:00,P04,L,1.0,75.0,M0522,qr
cmu,2026010800007,1,2026-01-08 09:24:00,P09,M,1.0,50.0,,qr
cmu,2026010800008,1,2026-01-08 09:45:00,P02,M,1.0,55.0,M0787,qr
cmu,2026010800009,1,2026-01-08 10:14:00,P02,S,1.0,45.0,,cash
cmu,2026010800010,1,2026-01-08 10:26:00,P04,M,1.0,65.0,M0670,cash
cmu,2026010800011,1,2026-01-08 10:32:00,P01,M,1.0,55.0,M0557,cash
cmu,2026010800011,2,2026-01-08 10:32:00,P15,,1.0,75.0,M0557,cash
cmu,2026010800012,1,2026-01-08 11:06:00,P06,M,1.0,75.0,,qr
cmu,2026010800013,1,2026-01-08 11:07:00,P07,S,1.0,45.0,,qr
cmu,2026010800013,2,2026-01-08 11:07:00,P13,,1.0,50.0,,qr
cmu,2026010800014,1,2026-01-08 11:08:00,P15,,1.0,75.0,M0183,qr
cmu,2026010800015,1,2026-01-08 11:54:00,P11,M,2.0,60.0,M0769,qr
cmu,2026010800015,2,2026-01-08 11:54:00,P15,,1.0,75.0,M0769,qr
cmu,2026010800016,1,2026-01-08 12:17:00,P15,,1.0,75.0,,qr
cmu,2026010800016,2,2026-01-08 12:17:00,P05,M,1.0,70.0,,qr
cmu,2026010800017,1,2026-01-08 12:18:00,P12,,2.0,55.0,,cash
cmu,2026010800018,1,2026-01-08 12:33:00,P02,L,2.0,65.0,M0713,qr
cmu,2026010800018,2,2026-01-08 12:33:00,P12,,1.0,55.0,M0713,qr
cmu,2026010800019,1,2026-01-08 13:18:00,P10,M,1.0,60.0,,qr
cmu,2026010800020,1,2026-01-08 13:21:00,P12,,1.0,55.0,M0116,qr
cmu,2026010800021,1,2026-01-08 13:38:00,P09,M,2.0,50.0,M0506,qr
cmu,2026010800022,1,2026-01-08 14:07:00,P10,L,1.0,70.0,,qr
cmu,2026010800023,1,2026-01-08 14:15:00,P02,M,1.0,55.0,,cash
cmu,2026010800023,2,2026-01-08 14:15:00,P12,,1.0,55.0,,cash
cmu,2026010800024,1,2026-01-08 14:23:00,P08,L,1.0,80.0,,qr
cmu,2026010800025,1,2026-01-08 15:43:00,P05,S,2.0,60.0,M0599,cash
cmu,2026010800026,1,2026-01-08 15:50:00,P13,,1.0,50.0,M0041,qr
cmu,2026010800027,1,2026-01-08 16:07:00,P08,M,1.0,70.0,M0656,qr
cmu,2026010800027,2,2026-01-08 16:07:00,P12,,1.0,55.0,M0656,qr
cmu,2026010800028,1,2026-01-08 17:31:00,P05,L,1.0,80.0,M0387,qr
cmu,2026010800029,1,2026-01-08 17:46:00,P08,L,2.0,80.0,M0493,qr
cmu,2026010800030,1,2026-01-08 18:03:00,P02,M,3.0,55.0,M0736,qr
cmu,2026010800030,2,2026-01-08 18:03:00,P12,,1.0,55.0,M0736,qr
cmu,2026010800031,1,2026-01-08 18:38:00,P10,M,1.0,60.0,M0555,qr
cmu,2026010800031,2,2026-01-08 18:38:00,P14,,1.0,85.0,M0555,qr
cmu,2026010800032,1,2026-01-08 19:30:00,P05,M,1.0,70.0,M0594,cash
cmu,2026010800032,2,2026-01-08 19:30:00,P08,L,1.0,80.0,M0594,cash
cmu,2026010800033,1,2026-01-08 19:55:00,P06,M,1.0,75.0,M0332,card
cmu,2026010800034,1,2026-01-08 19:59:00,P07,S,1.0,45.0,,cash
cmu,2026010800034,2,2026-01-08 19:59:00,P13,,1.0,50.0,,cash
cmu,2026010900001,1,2026-01-09 08:02:00,P12,,1.0,55.0,,qr
cmu,2026010900002,1,2026-01-09 08:33:00,P05,L,1.0,80.0,,qr
cmu,2026010900003,1,2026-01-09 08:36:00,P03,S,1.0,55.0,M0639,qr
cmu,2026010900003,2,2026-01-09 08:36:00,P14,,1.0,85.0,M0639,qr
cmu,2026010900004,1,2026-01-09 08:36:00,P09,M,1.0,50.0,,qr
cmu,2026010900005,1,2026-01-09 08:46:00,P05,M,1.0,70.0,,card
cmu,2026010900006,1,2026-01-09 09:02:00,P07,S,1.0,45.0,,qr
cmu,2026010900006,2,2026-01-09 09:02:00,P01,M,1.0,55.0,,qr
cmu,2026010900007,1,2026-01-09 09:18:00,P06,S,2.0,65.0,,qr
cmu,2026010900008,1,2026-01-09 09:36:00,P10,L,1.0,70.0,,cash
cmu,2026010900009,1,2026-01-09 09:46:00,P06,L,2.0,85.0,M0719,qr
cmu,2026010900010,1,2026-01-09 09:52:00,P12,,1.0,55.0,M0482,cash
cmu,2026010900010,2,2026-01-09 09:52:00,P04,S,1.0,55.0,M0482,cash
cmu,2026010900011,1,2026-01-09 10:05:00,P12,,1.0,55.0,,qr
cmu,2026010900012,1,2026-01-09 10:28:00,P14,,1.0,85.0,,cash
cmu,2026010900013,1,2026-01-09 10:36:00,P02,M,1.0,55.0,M0586,qr
cmu,2026010900014,1,2026-01-09 12:24:00,P03,S,2.0,55.0,M0341,qr
cmu,2026010900014,2,2026-01-09 12:24:00,P14,,1.0,85.0,M0341,qr
cmu,2026010900015,1,2026-01-09 12:31:00,P11,S,1.0,50.0,,cash
cmu,2026010900016,1,2026-01-09 12:51:00,P11,L,1.0,70.0,,cash
cmu,2026010900017,1,2026-01-09 13:07:00,P07,M,1.0,55.0,,qr
cmu,2026010900018,1,2026-01-09 13:22:00,P02,L,1.0,65.0,M0380,cash
cmu,2026010900019,1,2026-01-09 14:04:00,P01,M,1.0,55.0,,card
cmu,2026010900019,2,2026-01-09 14:04:00,P15,,1.0,75.0,,card
cmu,2026010900020,1,2026-01-09 14:07:00,P15,,1.0,75.0,M0380,cash
cmu,2026010900021,1,2026-01-09 14:37:00,P12,,1.0,55.0,M0750,cash
cmu,2026010900022,1,2026-01-09 14:43:00,P07,S,1.0,45.0,,qr
cmu,2026010900022,2,2026-01-09 14:43:00,P13,,1.0,50.0,,qr
cmu,2026010900023,1,2026-01-09 14:48:00,P05,S,1.0,60.0,,qr
cmu,2026010900024,1,2026-01-09 14:51:00,P02,L,1.0,65.0,M0066,cash
cmu,2026010900025,1,2026-01-09 15:05:00,P07,M,3.0,55.0,M0458,cash
cmu,2026010900026,1,2026-01-09 15:06:00,P07,M,1.0,55.0,M0179,qr
cmu,2026010900026,2,2026-01-09 15:06:00,P12,,1.0,55.0,M0179,qr
cmu,2026010900027,1,2026-01-09 15:27:00,P11,L,3.0,70.0,,qr
cmu,2026010900028,1,2026-01-09 15:40:00,P01,L,2.0,65.0,,qr
cmu,2026010900028,2,2026-01-09 15:40:00,P15,,1.0,75.0,,qr
cmu,2026010900029,1,2026-01-09 15:52:00,P04,M,1.0,65.0,,cash
cmu,2026010900030,1,2026-01-09 16:27:00,P05,S,2.0,60.0,,qr
cmu,2026010900030,2,2026-01-09 16:27:00,P15,,1.0,75.0,,qr
cmu,2026010900031,1,2026-01-09 16:27:00,P08,S,2.0,60.0,,qr
cmu,2026010900031,2,2026-01-09 16:27:00,P07,S,1.0,45.0,,qr
cmu,2026010900032,1,2026-01-09 16:46:00,P03,L,1.0,75.0,,cash
cmu,2026010900033,1,2026-01-09 16:49:00,P05,M,2.0,70.0,,card
cmu,2026010900034,1,2026-01-09 17:04:00,P15,,1.0,75.0,M0238,qr
cmu,2026010900035,1,2026-01-09 17:07:00,P11,L,1.0,70.0,,qr
cmu,2026010900036,1,2026-01-09 18:18:00,P10,S,1.0,50.0,,qr
cmu,2026011000001,1,2026-01-10 08:35:00,P12,,1.0,55.0,M0230,qr
cmu,2026011000002,1,2026-01-10 11:25:00,P05,S,1.0,60.0,M0290,qr
cmu,2026011000003,1,2026-01-10 14:16:00,P02,L,1.0,65.0,M0461,qr
cmu,2026011000004,1,2026-01-10 14:34:00,P06,L,2.0,85.0,M0456,cash
cmu,2026011000005,1,2026-01-10 15:41:00,P11,S,1.0,50.0,,cash
cmu,2026011000005,2,2026-01-10 15:41:00,P15,,1.0,75.0,,cash
cmu,2026011000006,1,2026-01-10 16:45:00,P04,L,1.0,75.0,M0547,qr
cmu,2026011000006,2,2026-01-10 16:45:00,P14,,1.0,85.0,M0547,qr
cmu,2026011000007,1,2026-01-10 16:49:00,P04,S,1.0,55.0,,qr
cmu,2026011000008,1,2026-01-10 17:19:00,P07,L,1.0,65.0,,cash
cmu,2026011000009,1,2026-01-10 17:36:00,P07,M,1.0,55.0,,cash
cmu,2026011100001,1,2026-01-11 07:36:00,P09,L,1.0,60.0,,cash
cmu,2026011100002,1,2026-01-11 09:01:00,P11,S,1.0,50.0,M0626,qr
cmu,2026011100003,1,2026-01-11 09:17:00,P07,M,1.0,55.0,M0677,qr
cmu,2026011100003,2,2026-01-11 09:17:00,P13,,1.0,50.0,M0677,qr
cmu,2026011100003,3,2026-01-11 09:17:00,P05,M,1.0,70.0,M0677,qr
cmu,2026011100004,1,2026-01-11 13:21:00,P08,L,1.0,80.0,M0499,qr
cmu,2026011100005,1,2026-01-11 13:52:00,P15,,1.0,75.0,,qr
cmu,2026011100006,1,2026-01-11 15:05:00,P15,,1.0,75.0,,cash
cmu,2026011100007,1,2026-01-11 15:18:00,P07,L,1.0,65.0,M0561,cash
cmu,2026011100008,1,2026-01-11 18:18:00,P10,L,1.0,70.0,,qr
cmu,2026011100009,1,2026-01-11 19:26:00,P09,M,1.0,50.0,M0086,qr
cmu,2026011200001,1,2026-01-12 07:45:00,P07,S,2.0,45.0,,qr
cmu,2026011200001,2,2026-01-12 07:45:00,P13,,1.0,50.0,,qr
cmu,2026011200002,1,2026-01-12 07:45:00,P05,S,1.0,60.0,,cash
cmu,2026011200003,1,2026-01-12 07:46:00,P03,M,1.0,65.0,M0146,qr
cmu,2026011200004,1,2026-01-12 07:55:00,P03,L,3.0,75.0,M0483,qr
cmu,2026011200004,2,2026-01-12 07:55:00,P14,,1.0,85.0,M0483,qr
cmu,2026011200004,3,2026-01-12 07:55:00,P08,L,1.0,80.0,M0483,qr
cmu,2026011200005,1,2026-01-12 08:19:00,P10,L,1.0,70.0,,cash
cmu,2026011200006,1,2026-01-12 08:24:00,P10,S,1.0,50.0,,qr
cmu,2026011200007,1,2026-01-12 08:43:00,P08,M,1.0,70.0,,cash
cmu,2026011200008,1,2026-01-12 09:32:00,P01,L,1.0,65.0,M0798,qr
cmu,2026011200008,2,2026-01-12 09:32:00,P15,,1.0,75.0,M0798,qr
cmu,2026011200009,1,2026-01-12 10:00:00,P12,,1.0,55.0,M0726,qr
cmu,2026011200010,1,2026-01-12 10:01:00,P15,,1.0,75.0,,qr
cmu,2026011200011,1,2026-01-12 10:04:00,P13,,1.0,50.0,,qr
cmu,2026011200012,1,2026-01-12 10:42:00,P03,L,1.0,75.0,,qr
cmu,2026011200013,1,2026-01-12 10:55:00,P03,M,1.0,65.0,M0421,qr
cmu,2026011200013,2,2026-01-12 10:55:00,P14,,1.0,85.0,M0421,qr
