receipt_no,sale_datetime,item_code,size,qty,unit_price,member_id,payment
NM-000065,02/01/2569 18:53,C03,S,1,,,CASH
NM-000065,02/01/2569 18:53,B03,,1,85,,CASH
NM-000065,02/01/2569 18:53,T04,S,1,50,,CASH
NM-000066,03/01/2569 08:08,B02,,1,50,M0042,CARD
NM-000067,03/01/2569 08:50,T04,L,1,70,M0759,QR
NM-000067,03/01/2569 08:50,B03,,1,85,M0759,QR
NM-000068,03/01/2569 08:59,C01,S,1,,,QR
NM-000069,03/01/2569 09:06,C02,L,2,65,,CARD
NM-000070,03/01/2569 09:07,T04,L,1,70,M0354,CARD
NM-000071,03/01/2569 09:20,C03,L,2,75,M0161,CASH
NM-000071,03/01/2569 09:20,B03,,1,85,M0161,CASH
NM-000072,03/01/2569 09:22,B01,,2,55,,CASH
NM-000073,03/01/2569 09:32,C02,M,2,55,M0577,QR
NM-000074,03/01/2569 09:51,T03,M,1,50,M0225,QR
NM-000074,03/01/2569 09:51,T01,S,1,45,M0225,QR
NM-000075,03/01/2569 10:00,T04,S,1,50,M0627,CASH
NM-000076,03/01/2569 10:27,C04,S,3,55,,QR
NM-000077,03/01/2569 11:46,T04,M,1,60,,QR
NM-000078,03/01/2569 12:04,T01,M,1,55,,CASH
NM-000078,03/01/2569 12:04,B02,,1,50,,CASH
NM-000079,03/01/2569 12:05,C05,M,1,70,,CARD
NM-000080,03/01/2569 12:07,B01,,1,55,M0775,CASH
NM-000081,03/01/2569 14:05,T02,S,1,60,,CASH
NM-000082,03/01/2569 14:09,C03,M,1,65,M0195,QR
NM-000082,03/01/2569 14:09,B03,,1,85,M0195,QR
NM-000083,03/01/2569 14:14,T01,M,1,55,,QR
NM-000083,03/01/2569 14:14,B02,,1,50,,QR
NM-000083,03/01/2569 14:14,C06,M,1,75,,QR
NM-000084,03/01/2569 14:23,C01,M,1,55,,CASH
NM-000084,03/01/2569 14:23,B04,,1,75,,CASH
NM-000085,03/01/2569 14:38,T01,S,1,45,,CASH
NM-000086,03/01/2569 14:39,T02,M,1,70,,CASH
NM-000086,03/01/2569 14:39,T01,S,1,,,CASH
NM-000087,03/01/2569 14:58,C06,M,1,,,QR
NM-000088,03/01/2569 15:17,C03,M,1,65,M0454,CARD
NM-000088,03/01/2569 15:17,B03,,1,85,M0454,CARD
NM-000089,03/01/2569 15:23,T04,M,1,60,,QR
NM-000090,03/01/2569 15:56,C06,M,1,75,,CARD
NM-000091,03/01/2569 16:26,C06,L,1,85,M0777,QR
NM-000091,03/01/2569 16:26,B03,,1,85,M0777,QR
NM-000092,03/01/2569 16:31,T05,L,2,70,,CARD
NM-000093,03/01/2569 16:40,T01,S,2,45,,QR
NM-000093,03/01/2569 16:40,B02,,1,50,,QR
NM-000094,03/01/2569 17:57,T05,L,1,70,,QR
NM-000094,03/01/2569 17:57,B01,,1,55,,QR
NM-000094,03/01/2569 17:57,C06,S,1,65,,QR
NM-000095,03/01/2569 18:54,C01,L,2,65,,CASH
NM-000095,03/01/2569 18:54,B04,,1,75,,CASH
NM-000096,03/01/2569 19:56,C02,M,1,55,M0145,CARD
NM-000097,04/01/2569 07:16,T01,S,1,45,,CASH
NM-000097,04/01/2569 07:16,B02,,1,50,,CASH
NM-000098,04/01/2569 07:42,C03,L,1,75,,QR
NM-000098,04/01/2569 07:42,C06,M,1,75,,QR
NM-000099,04/01/2569 07:57,C04,L,1,75,,CASH
NM-000099,04/01/2569 07:57,C05,M,1,70,,CASH
NM-000100,04/01/2569 08:00,C04,L,1,75,,CASH
NM-000101,04/01/2569 08:18,C02,M,1,55,M0193,QR
NM-000101,04/01/2569 08:18,B01,,1,55,M0193,QR
NM-000102,04/01/2569 08:55,T04,M,1,60,,QR
NM-000103,04/01/2569 09:16,C01,M,1,55,,CASH
NM-000103,04/01/2569 09:16,B04,,1,75,,CASH
NM-000104,04/01/2569 09:21,T01,L,1,65,M0201,QR
NM-000104,04/01/2569 09:21,B02,,1,50,M0201,QR
NM-000105,04/01/2569 09:43,C06,M,1,75,,QR
NM-000106,04/01/2569 10:02,C01,,1,65,,QR
NM-000107,04/01/2569 10:08,B02,,2,50,M0383,CASH
NM-000108,04/01/2569 10:14,T01,M,1,55,,QR
NM-000109,04/01/2569 10:18,C03,M,1,65,,QR
NM-000110,04/01/2569 10:36,T05,S,1,50,M0716,QR
NM-000111,04/01/2569 10:51,C02,M,1,55,,CARD
NM-000111,04/01/2569 10:51,B01,,1,55,,CARD
NM-000112,04/01/2569 10:57,C04,M,1,65,M0317,QR
NM-000113,04/01/2569 10:57,T04,M,-3,60,M0510,CARD
NM-000114,04/01/2569 11:03,C06,M,1,75,M0731,QR
NM-000114,04/01/2569 11:03,B02,,1,50,M0731,QR
NM-000115,04/01/2569 11:17,C06,L,1,85,,QR
NM-000116,04/01/2569 11:29,C01,M,1,55,M0739,CARD
NM-000117,04/01/2569 11:30,T02,M,1,70,M0372,CASH
NM-000118,04/01/2569 11:42,C02,L,2,65,,CARD
NM-000119,04/01/2569 11:43,T01,M,1,55,,CASH
NM-000119,04/01/2569 11:43,B02,,1,50,,CASH
NM-000120,04/01/2569 12:33,T03,S,2,40,,QR
NM-000121,04/01/2569 12:47,B01,,1,55,,QR
NM-000121,04/01/2569 12:47,C04,L,1,75,,QR
NM-000122,04/01/2569 12:54,C06,S,1,65,,QR
NM-000122,04/01/2569 12:54,T01,M,1,55,,QR
NM-000123,04/01/2569 13:10,T03,S,1,40,,QR
NM-000124,04/01/2569 13:14,C03,M,2,65,M0436,QR
NM-000124,04/01/2569 13:14,B03,,1,85,M0436,QR
NM-000125,04/01/2569 14:08,T01,L,1,65,M0011,QR
NM-000125,04/01/2569 14:08,B02,,1,50,M0011,QR
NM-000126,04/01/2569 14:08,B01,,1,55,,CARD
NM-000126,04/01/2569 14:08,B03,,1,85,,CARD
NM-000127,04/01/2569 14:10,B02,,1,50,,CARD
NM-000128,04/01/2569 14:28,T01,S,1,45,,CASH
NM-000128,04/01/2569 14:28,B02,,1,50,,CASH
NM-000129,04/01/2569 15:14,T05,S,3,50,,QR
NM-000130,04/01/2569 15:25,T01,M,1,55,M0341,CARD
NM-000131,04/01/2569 15:40,C01,M,1,55,,CASH
NM-000131,04/01/2569 15:40,B04,,1,75,,CASH
NM-000132,04/01/2569 15:42,T04,M,1,60,,QR
NM-000132,04/01/2569 15:42,B01,,1,55,,QR
NM-000133,04/01/2569 15:49,B02,,1,50,M0712,QR
NM-000134,04/01/2569 15:49,T01,S,1,45,,QR
NM-000134,04/01/2569 15:49,B02,,1,50,,QR
NM-000135,04/01/2569 15:50,T01,M,1,55,,QR
NM-000135,04/01/2569 15:50,B02,,1,50,,QR
NM-000136,04/01/2569 16:36,T02,S,1,60,,CARD
NM-000136,04/01/2569 16:36,T03,L,1,60,,CARD
NM-000137,04/01/2569 17:16,T01,M,1,55,,CARD
NM-000138,05/01/2569 08:20,T05,M,1,60,,QR
NM-000139,05/01/2569 08:52,C02,L,1,65,M0139,QR
NM-000140,05/01/2569 09:14,B03,,2,85,,QR
NM-000141,05/01/2569 09:26,B01,,1,55,M0280,QR
NM-000142,05/01/2569 09:42,C04,L,1,75,,CASH
NM-000143,05/01/2569 09:46,C04,S,1,55,M0250,CASH
NM-000143,05/01/2569 09:46,C02,M,1,55,M0250,CASH
NM-000144,05/01/2569 10:00,C04,M,1,65,,CASH
NM-000144,05/01/2569 10:00,C02,S,1,45,,CASH
NM-000145,05/01/2569 10:51,C03,S,1,55,M0781,CARD
NM-000146,05/01/2569 11:24,B03,,1,85,M0748,QR
NM-000147,05/01/2569 11:43,C04,M,2,65,,QR
NM-000148,05/01/2569 13:40,T01,L,1,65,M0770,QR
NM-000148,05/01/2569 13:40,B02,,1,50,M0770,QR
NM-000149,05/01/2569 14:24,C02,S,1,45,M0768,CARD
NM-000149,05/01/2569 14:24,T04,M,1,60,M0768,CARD
NM-000150,05/01/2569 15:49,C06,L,1,85,,QR
NM-000151,05/01/2569 16:22,B01,,1,55,,CARD
NM-000152,05/01/2569 16:43,T02,S,1,60,,CASH
NM-000152,05/01/2569 16:43,B01,,1,55,,CASH
NM-000153,05/01/2569 17:13,T02,M,3,70,,QR
NM-000153,05/01/2569 17:13,B01,,1,,,QR
NM-000154,05/01/2569 17:39,T01,S,1,45,,CASH
NM-000155,05/01/2569 18:12,B03,,1,85,,QR
NM-000156,05/01/2569 18:13,C06,M,2,75,,QR
NM-000157,06/01/2569 07:06,C02,M,1,55,M0708,CARD
NM-000157,06/01/2569 07:06,B01,,1,55,M0708,CARD
NM-000158,06/01/2569 07:30,T03,L,1,60,M0648,QR
NM-000159,06/01/2569 08:22,C03,M,1,65,,QR
NM-000160,06/01/2569 08:28,T02,M,1,70,,QR
NM-000161,06/01/2569 08:58,C06,M,1,75,M0363,CASH
NM-000162,06/01/2569 09:17,T05,M,2,60,,QR
NM-000163,06/01/2569 09:24,T01,M,1,55,M0089,CASH
NM-000164,06/01/2569 09:31,T03,M,1,50,,QR
NM-000165,06/01/2569 09:37,C02,M,1,55,,CARD
NM-000165,06/01/2569 09:37,B01,,1,55,,CARD
NM-000166,06/01/2569 09:37,T05,M,2,60,,QR
NM-000166,06/01/2569 09:37,T01,M,1,55,,QR
NM-000167,06/01/2569 09:54,C05,M,1,70,M0034,CASH
NM-000168,06/01/2569 10:45,C03,S,1,55,M0544,QR
NM-000168,06/01/2569 10:45,B03,,1,85,M0544,QR
NM-000169,06/01/2569 11:40,C06,S,-1,65,,QR
NM-000169,06/01/2569 11:40,B04,,1,75,,QR
NM-000170,06/01/2569 11:45,C01,L,2,65,M0672,CASH
NM-000170,06/01/2569 11:45,T01,M,1,55,M0672,CASH
NM-000171,06/01/2569 12:12,C02,M,1,55,M0138,QR
NM-000172,06/01/2569 12:27,B04,,2,75,,QR
NM-000173,06/01/2569 12:56,C01,L,1,65,,QR
NM-000173,06/01/2569 12:56,B04,,1,75,,QR
NM-000174,06/01/2569 14:05,C06,L,1,85,,QR
NM-000175,06/01/2569 15:57,C02,S,1,45,,CASH
NM-000175,06/01/2569 15:57,B03,,1,85,,CASH
NM-000176,06/01/2569 16:44,T03,S,1,40,,CARD
NM-000177,06/01/2569 17:10,B01,,3,55,,QR
NM-000178,06/01/2569 19:51,T04,M,1,60,M0358,QR
NM-000179,07/01/2569 07:16,C01,M,1,55,,QR
NM-000179,07/01/2569 07:16,T03,M,1,50,,QR
NM-000180,07/01/2569 07:58,C05,M,2,70,M0204,QR
NM-000181,07/01/2569 08:07,B04,,1,75,M0345,QR
NM-000182,07/01/2569 08:09,B02,,1,50,,CARD
NM-000183,07/01/2569 08:45,C05,M,1,70,,QR
NM-000184,07/01/2569 08:55,C04,S,1,55,M0264,QR
NM-000185,07/01/2569 09:09,C02,S,1,45,,QR
NM-000186,07/01/2569 09:52,C05,S,2,,M0141,QR
NM-000187,07/01/2569 09:56,T02,M,3,70,M0074,QR
NM-000188,07/01/2569 10:08,C01,M,1,55,M0092,QR
NM-000189,07/01/2569 10:35,C01,S,3,45,,QR
NM-000189,07/01/2569 10:35,B04,,1,75,,QR
NM-000189,07/01/2569 10:35,B03,,1,85,,QR
NM-000190,07/01/2569 10:57,C03,L,1,75,,CASH
NM-000190,07/01/2569 10:57,B03,,1,85,,CASH
NM-000191,07/01/2569 10:58,C06,M,1,75,M0468,QR
NM-000192,07/01/2569 11:49,T02,S,1,60,M0112,QR
NM-000193,07/01/2569 12:56,C03,M,2,65,,CASH
NM-000194,07/01/2569 13:06,T01,M,1,55,M0277,QR
NM-000195,07/01/2569 13:12,B01,,1,55,,CASH
NM-000196,07/01/2569 14:05,T04,M,1,60,,QR
NM-000197,07/01/2569 14:11,T01,M,1,55,M0249,QR
NM-000198,07/01/2569 14:13,B02,,1,50,M0712,QR
NM-000199,07/01/2569 14:14,C02,M,1,55,M0182,QR
NM-000200,07/01/2569 14:20,T02,M,1,70,M0602,CASH
NM-000201,07/01/2569 14:36,C01,M,1,55,,QR
NM-000202,07/01/2569 14:43,C03,M,1,65,M0132,CARD
NM-000202,07/01/2569 14:43,B03,,1,85,M0132,CARD
NM-000203,07/01/2569 14:45,B02,,1,50,,CARD
NM-000204,07/01/2569 15:07,C02,M,1,55,,CARD
NM-000205,07/01/2569 15:10,C02,M,1,55,,QR
NM-000206,07/01/2569 15:21,T01,M,1,55,,QR
NM-000207,07/01/2569 15:42,T05,M,1,60,,QR
NM-000208,07/01/2569 15:47,T01,M,1,55,,QR
NM-000209,07/01/2569 15:51,T01,M,1,55,,CARD
NM-000209,07/01/2569 15:51,B04,,1,75,,CARD
NM-000210,07/01/2569 16:43,T01,L,1,65,,CASH
NM-000211,07/01/2569 17:09,T04,S,2,50,M0182,CASH
NM-000211,07/01/2569 17:09,C05,L,1,80,M0182,CASH
NM-000212,07/01/2569 17:44,C02,L,1,65,,CASH
NM-000213,07/01/2569 18:13,C02,L,1,65,M0633,CASH
NM-000214,07/01/2569 18:32,C04,S,1,55,M0722,CASH
NM-000215,08/01/2569 07:04,C05,L,1,80,M0155,QR
NM-000216,08/01/2569 08:27,C01,S,1,45,,QR
NM-000217,08/01/2569 08:33,C04,S,1,55,M0247,QR
NM-000218,08/01/2569 09:00,C03,M,1,65,M0181,CARD
NM-000219,08/01/2569 09:02,C06,S,1,65,,CASH
NM-000220,08/01/2569 09:07,C02,M,1,55,,QR
NM-000220,08/01/2569 09:07,B01,,1,55,,QR
NM-000220,08/01/2569 09:07,C03,M,1,65,,QR
NM-000221,08/01/2569 09:08,C02,M,2,55,,QR
NM-000221,08/01/2569 09:08,B01,,1,55,,QR
NM-000222,08/01/2569 09:23,B02,,1,50,,QR
NM-000223,08/01/2569 09:31,T04,M,1,60,,CASH
NM-000224,08/01/2569 09:34,C04,S,1,55,,CASH
NM-000225,08/01/2569 09:49,T03,L,3,60,M0412,CASH
NM-000226,08/01/2569 09:52,C02,M,1,55,,CASH
NM-000226,08/01/2569 09:52,B01,,1,55,,CASH
NM-000227,08/01/2569 09:57,C06,L,2,85,M0659,QR
NM-000228,08/01/2569 10:21,C02,L,1,65,,QR
NM-000228,08/01/2569 10:21,B01,,1,,,QR
NM-000229,08/01/2569 10:38,B01,,2,55,M0739,CASH
NM-000229,08/01/2569 10:38,T01,M,1,55,M0739,CASH
NM-000230,08/01/2569 10:50,C02,M,1,55,M0198,CARD
NM-000230,08/01/2569 10:50,B01,,1,55,M0198,CARD
NM-000231,08/01/2569 10:58,C02,S,1,45,,QR
NM-000231,08/01/2569 10:58,B01,,1,55,,QR
NM-000232,08/01/2569 11:08,T01,M,2,55,,QR
NM-000232,08/01/2569 11:08,B02,,1,50,,QR
NM-000233,08/01/2569 11:27,C06,M,1,75,M0531,QR
NM-000234,08/01/2569 13:56,C05,M,1,70,M0378,CASH
NM-000234,08/01/2569 13:56,B01,,1,55,M0378,CASH
NM-000235,08/01/2569 15:44,B02,,1,50,,QR
NM-000236,08/01/2569 15:52,T04,L,1,70,M0706,CARD
NM-000236,08/01/2569 15:52,T01,S,1,45,M0706,CARD
NM-000237,08/01/2569 15:55,C03,S,1,55,M0664,QR
NM-000238,08/01/2569 17:11,T05,L,1,70,M0781,QR
NM-000239,08/01/2569 17:49,T04,L,1,70,M0164,QR
NM-000240,08/01/2569 18:44,T01,M,1,55,M0081,CARD
NM-000240,08/01/2569 18:44,B02,,1,50,M0081,CARD
NM-000241,08/01/2569 19:25,T02,M,1,70,,QR
NM-000242,09/01/2569 07:33,T02,M,2,70,,CASH
NM-000242,09/01/2569 07:33,T02,M,2,70,,CASH
NM-000243,09/01/2569 07:56,T04,L,1,70,,CARD
NM-000244,09/01/2569 08:00,B02,,1,50,,CARD
NM-000245,09/01/2569 08:46,T05,S,1,50,M0465,QR
NM-000246,09/01/2569 08:47,C06,L,2,85,M0123,CARD
NM-000247,09/01/2569 08:48,T02,M,2,70,M316,CASH
NM-000247,09/01/2569 08:48,T01,M,1,55,M316,CASH
NM-000248,09/01/2569 09:24,C02,L,1,65,,QR
NM-000249,09/01/2569 09:59,C03,S,1,55,,CASH
NM-000250,09/01/2569 10:38,C06,M,1,75,,CASH
NM-000251,09/01/2569 10:41,C04,L,1,75,M0091,CARD
NM-000252,09/01/2569 10:43,C06,S,1,65,,CARD
NM-000252,09/01/2569 10:43,C01,S,1,45,,CARD
NM-000252,09/01/2569 10:43,C01,S,1,45,,CARD
NM-000253,09/01/2569 10:46,C06,M,1,75,,QR
NM-000254,09/01/2569 10:55,T01,M,1,55,M0343,CARD
NM-000254,09/01/2569 10:55,B02,,1,50,M0343,CARD
NM-000255,09/01/2569 11:29,B02,,1,50,M0166,CASH
NM-000256,09/01/2569 11:35,C03,M,1,65,M0720,QR
NM-000256,09/01/2569 11:35,B01,,1,55,M0720,QR
NM-000257,09/01/2569 11:41,C02,M,1,55,,QR
NM-000257,09/01/2569 11:41,B04,,1,75,,QR
NM-000258,09/01/2569 12:33,T04,M,1,60,,QR
NM-000259,09/01/2569 12:56,T03,S,1,40,,QR
NM-000260,09/01/2569 13:57,T02,M,3,70,,CASH
NM-000261,09/01/2569 14:02,T04,M,2,60,M0623,CARD
NM-000262,09/01/2569 14:07,C04,M,1,65,,QR
NM-000263,09/01/2569 14:20,T02,M,1,,,QR
NM-000264,09/01/2569 14:24,C03,M,1,65,M0409,CASH
NM-000265,09/01/2569 14:42,C01,S,1,45,,QR
NM-000265,09/01/2569 14:42,B04,,1,75,,QR
NM-000266,09/01/2569 16:16,T03,S,2,40,,CASH
NM-000266,09/01/2569 16:16,B01,,1,55,,CASH
NM-000267,09/01/2569 16:58,T01,S,1,45,,QR
NM-000268,09/01/2569 17:15,C02,L,1,65,,CARD
NM-000269,09/01/2569 17:19,T04,S,1,50,,QR
NM-000270,09/01/2569 17:32,T02,M,2,70,,CARD
NM-000270,09/01/2569 17:32,B01,,1,55,,CARD
NM-000271,09/01/2569 17:32,B04,,3,75,,QR
NM-000271,09/01/2569 17:32,B04,,3,75,,QR
NM-000272,09/01/2569 18:39,T01,S,1,45,,QR
NM-000273,09/01/2569 18:39,T02,L,1,80,M0720,CARD
NM-000274,09/01/2569 19:05,T02,S,1,60,,CASH
NM-000275,09/01/2569 19:45,T04,M,2,60,M0011,QR
NM-000276,10/01/2569 07:17,C04,M,1,65,M0672,CASH
NM-000277,10/01/2569 08:10,T05,S,1,50,,CASH
NM-000278,10/01/2569 08:24,T02,L,1,80,M0157,CASH
NM-000278,10/01/2569 08:24,B04,,1,75,M0157,CASH
NM-000278,10/01/2569 08:24,B01,,1,55,M0157,CASH
NM-000279,10/01/2569 08:33,C05,M,1,70,,CASH
NM-000280,10/01/2569 08:58,C06,M,1,75,,QR
NM-000280,10/01/2569 08:58,C04,M,1,65,,QR
NM-000281,10/01/2569 09:04,C02,M,3,55,,QR
NM-000281,10/01/2569 09:04,B01,,1,55,,QR
NM-000282,10/01/2569 09:18,C05,S,2,60,M0437,CASH
NM-000283,10/01/2569 09:18,T01,L,1,65,M0745,QR
NM-000283,10/01/2569 09:18,B02,,1,50,M0745,QR
NM-000284,10/01/2569 09:24,C04,M,1,65,,QR
NM-000285,10/01/2569 09:25,C05,S,1,60,,QR
NM-000286,10/01/2569 09:25,T01,M,1,55,M0675,QR
NM-000286,10/01/2569 09:25,B02,,1,50,M0675,QR
NM-000287,10/01/2569 09:28,C04,L,1,75,,QR
NM-000288,10/01/2569 09:37,C05,M,1,,M0504,QR
NM-000289,10/01/2569 09:49,C06,M,1,,M0137,QR
NM-000289,10/01/2569 09:49,C02,S,1,,M0137,QR
NM-000290,10/01/2569 10:39,B02,,1,50,,CASH
NM-000291,10/01/2569 10:39,C02,M,1,55,M0275,CARD
NM-000291,10/01/2569 10:39,C02,M,1,55,M0275,CARD
NM-000291,10/01/2569 10:39,B01,,1,55,M0275,CARD
NM-000292,10/01/2569 10:52,T02,L,1,80,M0363,CASH
NM-000292,10/01/2569 10:52,B01,,1,55,M0363,CASH
NM-000293,10/01/2569 10:57,B03,,1,85,M0553,CARD
NM-000294,10/01/2569 12:25,C03,S,1,55,,CASH
NM-000294,10/01/2569 12:25,B04,,1,75,,CASH
NM-000295,10/01/2569 12:27,C02,M,1,55,M0718,CARD
NM-000296,10/01/2569 13:28,C03,S,1,55,M0553,QR
NM-000296,10/01/2569 13:28,B01,,1,55,M0553,QR
NM-000297,10/01/2569 13:33,B01,,1,55,M0042,CARD
NM-000298,10/01/2569 13:36,B03,,-1,85,M0636,QR
NM-000299,10/01/2569 14:02,T04,M,1,60,,CARD
NM-000299,10/01/2569 14:02,B04,,1,75,,CARD
NM-000300,10/01/2569 14:03,T05,L,1,70,,CASH
NM-000301,10/01/2569 14:04,T04,M,1,60,,QR
NM-000302,10/01/2569 14:25,T02,L,1,80,,CASH
NM-000303,10/01/2569 15:21,C06,M,1,75,M0531,QR
NM-000304,10/01/2569 15:43,T03,L,2,60,M0378,QR
NM-000305,10/01/2569 15:57,T01,L,1,65,,QR
NM-000305,10/01/2569 15:57,C04,S,1,55,,QR
NM-000306,10/01/2569 16:10,C04,S,1,55,M0331,CASH
NM-000306,10/01/2569 16:10,B02,,1,50,M0331,CASH
NM-000306,10/01/2569 16:10,B02,,1,50,M0331,CASH
NM-000307,10/01/2569 16:39,T01,S,1,45,M0085,QR
NM-000307,10/01/2569 16:39,B02,,1,50,M0085,QR
NM-000308,10/01/2569 17:34,C03,S,2,55,M0198,QR
NM-000309,10/01/2569 18:09,T05,S,1,50,M0792,QR
NM-000310,10/01/2569 18:40,B01,,1,55,M0359,QR
NM-000311,10/01/2569 18:53,T04,M,3,60,M0274,CARD
NM-000311,10/01/2569 18:53,B01,,1,55,M0274,CARD
